feature,F,p_value
has_abstract,7484.9188525201025,0.0
has_doi,14211.170527478986,0.0
has_grants,113978.04155073012,0.0
has_pmid,62271.670136370805,0.0
is_in_doaj,22816.7198987854,0.0
max_concept_score,30512.270249112004,0.0
nlp_avg_sentence_length,8983.297879172886,0.0
nlp_capital_ratio,8248.977511607785,0.0
nlp_number_ratio,4715.171681936844,0.0
num_authors,29663.185053162975,0.0
num_concepts,52558.709529756125,0.0
num_grants,78342.77945098237,0.0
num_high_concepts,52055.304498976046,0.0
num_institutions,72552.38232604075,0.0
num_locations,65451.32330410482,0.0
title_length,24492.26154474519,0.0
title_word_count,17376.417455084786,0.0
scibert_dim_1,15741.18979867833,0.0
scibert_dim_10,5276.65019473576,0.0
scibert_dim_100,2535.5178919995988,0.0
scibert_dim_101,5196.545262966902,0.0
scibert_dim_102,12463.326903503159,0.0
scibert_dim_104,9293.113267143337,0.0
scibert_dim_105,6190.026460005607,0.0
scibert_dim_107,8730.399884912305,0.0
scibert_dim_108,18289.870081735477,0.0
scibert_dim_109,7816.826236986205,0.0
scibert_dim_111,5154.422900008313,0.0
scibert_dim_113,8148.418707106673,0.0
scibert_dim_114,6272.114132934352,0.0
scibert_dim_115,3050.3535112519767,0.0
scibert_dim_116,1579.9365195414143,0.0
scibert_dim_117,3481.383405331643,0.0
scibert_dim_118,1597.8812559505639,0.0
scibert_dim_119,11322.02779860723,0.0
scibert_dim_121,3097.033416866245,0.0
scibert_dim_122,4898.729459154222,0.0
scibert_dim_124,3113.460599527631,0.0
scibert_dim_126,4287.625537704184,0.0
scibert_dim_127,2829.0580330188586,0.0
scibert_dim_128,3394.192306378492,0.0
scibert_dim_129,5856.593942423136,0.0
scibert_dim_131,7551.601136122453,0.0
scibert_dim_133,4490.338486030796,0.0
scibert_dim_135,6653.942124994183,0.0
scibert_dim_136,4593.4344377850575,0.0
scibert_dim_137,2347.42261154209,0.0
scibert_dim_138,8011.163172347025,0.0
scibert_dim_14,1832.3830725748328,0.0
scibert_dim_140,1503.8112086746048,0.0
scibert_dim_141,1813.2069862601002,0.0
scibert_dim_143,5060.082974785319,0.0
scibert_dim_144,17487.635155359407,0.0
scibert_dim_145,3592.0595059116745,0.0
scibert_dim_146,3910.3604153357524,0.0
scibert_dim_147,4172.915933059321,0.0
scibert_dim_148,14945.391219183743,0.0
scibert_dim_149,8257.955695727387,0.0
scibert_dim_15,2078.4271216821953,0.0
scibert_dim_151,12039.558525242051,0.0
scibert_dim_152,5750.067204403598,0.0
scibert_dim_154,4705.978145584191,0.0
scibert_dim_16,2471.980244967295,0.0
scibert_dim_160,6288.1734932335685,0.0
scibert_dim_161,12112.158949563558,0.0
scibert_dim_163,6213.221852882111,0.0
scibert_dim_164,3626.7394357848675,0.0
scibert_dim_165,13060.223170776304,0.0
scibert_dim_167,2685.340495537431,0.0
scibert_dim_169,3079.1571123172803,0.0
scibert_dim_17,16635.56770284397,0.0
scibert_dim_173,6788.627154039396,0.0
scibert_dim_174,5897.677472908568,0.0
scibert_dim_175,15915.340191725298,0.0
scibert_dim_176,7664.88509864767,0.0
